Latitude,Longitude,City Name,Country,Temperature,Wind Speed,Humidity,Cloudiness,URL
-0.871,-44.0942,cururupu,br,80.77,9.86,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-0.871&lon=-44.0942
2.6977,130.2371,ternate,id,83.47,15.01,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=2.6977&lon=130.2371
-69.4251,83.5599,busselton,au,-10.04,17.47,66,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-69.4251&lon=83.5599
-25.943,-39.6222,arraial do cabo,br,79.96,21.27,99,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-25.943&lon=-39.6222
45.0048,126.4289,yushu,cn,53.23,14.45,61,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=45.0048&lon=126.4289
-4.0373,-149.1298,atuona,pf,80.59,11.77,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-4.0373&lon=-149.1298
-66.9936,-135.9013,rikitea,pf,28.3,15.35,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-66.9936&lon=-135.9013
-12.1886,-109.1262,puerto ayora,ec,76.45,14.79,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-12.1886&lon=-109.1262
-68.4353,-61.9928,ushuaia,ar,14.08,0.36,84,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-68.4353&lon=-61.9928
41.9344,-97.2511,norfolk,us,22.57,10.29,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=41.9344&lon=-97.2511
88.0411,53.3805,belushya guba,ru,-3.74,4.38,78,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=88.0411&lon=53.3805
-22.3356,-76.1124,antofagasta,cl,67.81,14.12,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-22.3356&lon=-76.1124
72.2346,-56.6218,upernavik,gl,17.14,10.65,80,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=72.2346&lon=-56.6218
4.7515,-108.9021,lazaro cardenas,mx,81.22,8.19,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=4.7515&lon=-108.9021
-41.4496,-6.1601,jamestown,sh,56.74,22.84,98,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-41.4496&lon=-6.1601
-55.0178,29.8506,port elizabeth,za,36.94,23.62,94,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-55.0178&lon=29.8506
67.5648,73.1663,staryy nadym,ru,-3.2,21.83,88,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=67.5648&lon=73.1663
-19.548,107.1372,carnarvon,au,79.06,15.46,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-19.548&lon=107.1372
-83.8675,-107.2367,punta arenas,cl,-14.81,17.25,70,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-83.8675&lon=-107.2367
69.4961,60.097,amderma,ru,1.57,7.52,91,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=69.4961&lon=60.097
-88.8606,95.191,albany,au,-73.49,3.71,0,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-88.8606&lon=95.191
0.9007,-157.941,faanui,pf,79.96,14.23,99,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=0.9007&lon=-157.941
89.6652,-151.6663,barrow,us,-5.81,12.44,72,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=89.6652&lon=-151.6663
45.4675,104.6747,mandalgovi,mn,27.94,15.79,71,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=45.4675&lon=104.6747
14.2831,-114.8721,cabo san lucas,mx,78.61,9.75,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=14.2831&lon=-114.8721
41.5551,-91.9314,coralville,us,20.07,4.7,92,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=41.5551&lon=-91.9314
5.2777,174.4693,butaritari,ki,83.29,8.63,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=5.2777&lon=174.4693
48.377,-145.0233,kodiak,us,42.34,20.04,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=48.377&lon=-145.0233
-41.416,39.5071,margate,za,54.58,11.77,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-41.416&lon=39.5071
-28.9333,14.0023,oranjemund,na,66.37,18.81,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-28.9333&lon=14.0023
-49.2204,30.8892,port alfred,za,44.23,21.27,88,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-49.2204&lon=30.8892
-38.4908,-1.8956,saldanha,za,61.69,6.96,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-38.4908&lon=-1.8956
72.5908,-49.9659,ilulissat,gl,4.27,15.01,82,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=72.5908&lon=-49.9659
-44.4393,-74.6853,castro,cl,52.69,5.39,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-44.4393&lon=-74.6853
64.8134,-110.1752,yellowknife,ca,-15.89,1.92,45,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=64.8134&lon=-110.1752
21.0016,-9.2123,atar,mr,59.62,2.71,57,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=21.0016&lon=-9.2123
-19.9476,74.4351,grand river south east,mu,78.43,16.8,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-19.9476&lon=74.4351
-79.7605,57.7469,east london,za,-53.6,13.67,0,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-79.7605&lon=57.7469
52.1161,-82.8924,attawapiskat,ca,-2.3,4.72,72,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=52.1161&lon=-82.8924
14.3952,7.2416,dakoro,ne,65.83,6.85,27,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=14.3952&lon=7.2416
-88.5443,133.531,hobart,au,-64.76,2.59,0,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-88.5443&lon=133.531
82.5776,75.5515,dikson,ru,-10.49,6.06,73,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=82.5776&lon=75.5515
42.8007,31.4281,zonguldak,tr,49.27,21.72,94,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=42.8007&lon=31.4281
-5.6122,70.1023,hithadhoo,mv,82.84,8.19,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-5.6122&lon=70.1023
52.4204,114.2257,makkaveyevo,ru,24.61,14.67,33,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=52.4204&lon=114.2257
47.3974,-48.5607,torbay,ca,34.51,20.83,88,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=47.3974&lon=-48.5607
21.9734,-171.7975,kapaa,us,72.94,2.82,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=21.9734&lon=-171.7975
36.5388,-54.7639,saint-pierre,pm,63.85,3.6,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=36.5388&lon=-54.7639
-38.8089,130.8917,port lincoln,au,61.06,19.15,97,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-38.8089&lon=130.8917
-51.6,-142.06,mataura,pf,48.19,12.88,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-51.6&lon=-142.06
35.6042,21.688,methoni,gr,60.16,17.69,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=35.6042&lon=21.688
46.0364,133.5624,lazo,ru,58.27,13.89,57,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=46.0364&lon=133.5624
6.9619,-71.1578,arauca,co,71.86,2.15,97,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=6.9619&lon=-71.1578
-41.5561,-60.2063,viedma,ar,61.33,17.47,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-41.5561&lon=-60.2063
64.1814,-142.2116,fairbanks,us,15.34,6.51,64,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=64.1814&lon=-142.2116
35.4402,169.6669,nikolskoye,ru,55.75,19.04,100,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=35.4402&lon=169.6669
86.815,-134.7748,tuktoyaktuk,ca,-7.97,11.32,81,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=86.815&lon=-134.7748
69.7668,164.0399,bilibino,ru,26.32,5.61,88,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=69.7668&lon=164.0399
-36.2688,163.0302,westport,nz,71.68,15.35,100,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-36.2688&lon=163.0302
56.6926,-106.0258,la ronge,ca,-25.61,2.48,74,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=56.6926&lon=-106.0258
69.0692,174.2114,komsomolskiy,ru,31.18,10.54,87,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=69.0692&lon=174.2114
-0.3218,-117.0437,san patricio,mx,78.07,6.4,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-0.3218&lon=-117.0437
48.7666,46.7334,verkhniy baskunchak,ru,41.26,16.91,80,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=48.7666&lon=46.7334
-20.9307,52.2806,saint-paul,re,78.61,8.63,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-20.9307&lon=52.2806
4.8051,-50.7559,saint-georges,gf,77.44,10.76,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=4.8051&lon=-50.7559
5.6088,134.4904,kloulklubed,pw,83.38,19.82,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=5.6088&lon=134.4904
14.9132,156.5355,kavieng,pg,81.58,15.79,96,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=14.9132&lon=156.5355
26.9986,91.3354,pemagatsel,bt,76.81,2.04,43,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=26.9986&lon=91.3354
-10.6649,132.277,nguiu,au,88.06,5.5,97,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-10.6649&lon=132.277
49.8518,102.6674,kholtoson,ru,23.71,8.97,33,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=49.8518&lon=102.6674
-6.8598,-78.8062,bambamarca,pe,50.35,1.92,98,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-6.8598&lon=-78.8062
-23.7344,142.9535,mount isa,au,92.56,15.68,36,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-23.7344&lon=142.9535
-22.2266,87.1971,bengkulu,id,74.02,8.75,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-22.2266&lon=87.1971
45.1277,-177.0513,provideniya,ru,42.43,17.25,98,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=45.1277&lon=-177.0513
-7.3923,-170.5894,saleaula,ws,83.56,11.32,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-7.3923&lon=-170.5894
73.0771,-29.8194,illoqqortoormiut,gl,-16.43,17.69,55,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=73.0771&lon=-29.8194
-64.6814,70.7618,saint-philippe,re,25.33,10.2,100,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-64.6814&lon=70.7618
5.0319,21.6677,alindao,cf,71.41,11.65,88,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=5.0319&lon=21.6677
68.4145,-89.0177,thompson,ca,7.15,3.27,85,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=68.4145&lon=-89.0177
35.1514,79.1997,leh,in,9.94,3.15,96,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=35.1514&lon=79.1997
24.015,78.8574,karrapur,in,93.37,5.17,33,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=24.015&lon=78.8574
27.2043,-114.7974,guerrero negro,mx,60.52,14,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=27.2043&lon=-114.7974
42.4084,142.8889,shizunai,jp,42.8,11.41,70,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=42.4084&lon=142.8889
9.303,-21.4269,oussouye,sn,74.11,13.22,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=9.303&lon=-21.4269
51.806,48.1257,balakovo,ru,30.01,10.87,96,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=51.806&lon=48.1257
-5.1469,5.992,gamba,ga,80.77,7.96,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-5.1469&lon=5.992
35.9833,33.5349,silifke,tr,62.86,8.97,99,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=35.9833&lon=33.5349
84.0765,146.742,chokurdakh,ru,0.04,5.73,77,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=84.0765&lon=146.742
-36.3988,51.776,taolanaro,mg,60.34,14.79,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-36.3988&lon=51.776
-76.085,1.0359,hermanus,za,-42.62,2.71,69,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-76.085&lon=1.0359
-79.9846,19.7478,bredasdorp,za,-60.53,17.25,0,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-79.9846&lon=19.7478
68.5314,95.1675,tura,ru,-11.3,3.83,65,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=68.5314&lon=95.1675
-0.5771,-87.3014,san cristobal,ec,73.93,7.4,98,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-0.5771&lon=-87.3014
30.3507,11.1706,nalut,ly,58.72,12.77,53,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=30.3507&lon=11.1706
-24.1429,-80.1941,taltal,cl,67.18,18.25,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-24.1429&lon=-80.1941
-50.5502,-28.9605,cidreira,br,41.44,27.2,100,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-50.5502&lon=-28.9605
5.9639,85.4724,kalmunai,lk,80.95,7.4,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=5.9639&lon=85.4724
-32.3556,-68.1505,san martin,ar,60.43,5.73,93,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-32.3556&lon=-68.1505
16.1904,41.391,jizan,sa,78.97,1.92,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=16.1904&lon=41.391
-8.6732,-83.9301,pimentel,pe,76.54,11.54,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-8.6732&lon=-83.9301
31.99,158.2695,sentyabrskiy,ru,61.15,19.26,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=31.99&lon=158.2695
17.5868,-42.6111,cayenne,gf,73.66,13.11,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=17.5868&lon=-42.6111
10.8741,130.7769,pilar,ph,82.57,11.21,100,few clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=10.8741&lon=130.7769
4.367,-34.5833,trairi,br,78.97,13.78,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=4.367&lon=-34.5833
71.2969,-119.8716,norman wells,ca,-14.27,3.83,88,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=71.2969&lon=-119.8716
61.1025,-120.1174,fort nelson,ca,9.13,2.48,77,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=61.1025&lon=-120.1174
53.325,179.3486,beringovskiy,ru,39.28,24.52,95,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=53.325&lon=179.3486
3.398,-150.2223,hilo,us,79.78,11.77,100,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=3.398&lon=-150.2223
-18.6317,41.538,angoche,mz,85.72,8.97,95,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-18.6317&lon=41.538
-45.8819,-167.7134,vaini,to,59.89,23.73,97,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-45.8819&lon=-167.7134
-61.5815,156.7898,tuatapere,nz,36.58,25.52,92,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-61.5815&lon=156.7898
83.1315,-34.9304,tasiilaq,gl,-35.69,1.92,68,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=83.1315&lon=-34.9304
-24.6663,24.7193,letlhakeng,bw,64.66,10.42,92,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-24.6663&lon=24.7193
46.2034,-30.3626,lagoa,pt,51.25,42.41,100,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=46.2034&lon=-30.3626
58.9265,115.718,kropotkin,ru,17.59,8.41,44,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=58.9265&lon=115.718
-20.7681,167.3596,we,nc,79.51,12.33,88,overcast clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-20.7681&lon=167.3596
24.4991,21.4299,jalu,ly,62.05,2.93,18,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=24.4991&lon=21.4299
13.1575,59.1177,salalah,om,78.43,4.38,100,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=13.1575&lon=59.1177
-55.4857,132.9616,new norfolk,au,38.47,16.02,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-55.4857&lon=132.9616
-38.5868,-89.9448,lebu,cl,65.83,17.36,96,clear sky,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-38.5868&lon=-89.9448
88.7693,-79.8046,qaanaaq,gl,-0.59,8.75,79,scattered clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=88.7693&lon=-79.8046
-4.7429,107.0076,teluknaga,id,80.86,8.3,100,moderate rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=-4.7429&lon=107.0076
82.5811,141.1949,nizhneyansk,ru,1.03,14.34,94,broken clouds,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=82.5811&lon=141.1949
27.8198,-63.4221,hamilton,bm,71.41,13.67,100,light rain,http://api.openweathermap.org/data/2.5/weather?appid=ce062735e8cfa1f84a544a629087cf4f&units=imperial&lat=27.8198&lon=-63.4221
